Air Density [kg/m3]	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	49	52	54	57	60	63	65	68	71	73	76	79	82
3.5	148	154	159	164	169	174	180	185	190	195	201	206	211
4	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	452	465	477	490	503	516	529	541	554	567	580	593	605
5	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	896	920	943	967	991	1015	1039	1062	1086	1110	1134	1158	1181
6	1179	1210	1241	1272	1303	1333	1364	1395	1426	1457	1487	1518	1549
6.5	1488	1526	1565	1603	1642	1680	1719	1757	1795	1834	1872	1911	1949
7	1796	1842	1888	1934	1980	2026	2072	2118	2164	2210	2256	2302	2348
7.5	2086	2140	2193	2246	2299	2352	2406	2459	2512	2565	2618	2671	2724
8	2354	2414	2473	2533	2593	2653	2712	2772	2832	2891	2951	3011	3070
8.5	2605	2671	2737	2803	2869	2935	3000	3066	3132	3198	3263	3329	3395
9	2849	2920	2992	3064	3136	3208	3280	3351	3423	3495	3565	3636	3691
9.5	3074	3152	3229	3307	3384	3462	3539	3614	3689	3755	3813	3872	3914
10	3288	3371	3454	3537	3619	3698	3776	3838	3898	3950	3996	4042	4072
10.5	3495	3584	3670	3751	3828	3893	3955	4005	4053	4092	4125	4158	4177
11	3695	3779	3858	3923	3986	4037	4086	4123	4157	4184	4205	4227	4233
11.5	3865	3933	3997	4049	4098	4137	4172	4197	4219	4234	4242	4250	4250
12	3994	4049	4099	4138	4174	4200	4223	4235	4245	4249	4249	4250	4250
12.5	4094	4136	4173	4199	4223	4237	4248	4249	4250	4249	4250	4250	4250
13	4168	4197	4221	4236	4247	4250	4250	4250	4250	4250	4250	4250	4250
13.5	4217	4234	4246	4249	4250	4250	4250	4250	4250	4250	4250	4250	4250
14	4244	4248	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
14.5	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
15	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
15.5	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
16	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
16.5	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
17	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
17.5	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
18	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
18.5	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
19	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
19.5	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
20	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250	4250
