X [m],Y [m],NUM,MODO,Index_x,Index_y
10320.09,12820.2,1,6,258,318
10686.85,12822.2,2,6,268,318
11066.92,12954.84,3,6,277,322
11431.89,12850.84,4,6,286,319
11721.15,13073.47,5,6,293,325
11263.8,10464.36,6,6,282,260
11513.45,10849.66,7,6,288,269
11723.61,11180.7,8,6,294,278
12111.77,11157.53,9,6,303,277
12452.94,11026.45,10,6,312,274
12791.83,10890.36,11,6,320,270
13036.55,11187.8,12,6,326,278
13258.09,11482.02,13,6,332,285
13441.79,11802.89,14,6,337,293
13812.25,11684.36,15,6,346,290
14356.31,12179.58,16,6,359,302
14680.01,9954.08,17,7,368,247
15051.51,9796.98,18,7,377,243
15558.4,9734.3,19,7,390,242
15930.1,9665.43,20,6,399,240
16700.99,9749.2,21,6,418,242
17089.19,9743.9,22,6,428,242
17465.66,9658.99,23,6,437,240
17850.0,9564.74,24,6,447,238
18188.05,9731.6,25,6,455,242
18567.77,9807.49,26,6,465,244
10932.83,10230.62,27,6,274,254
14510.27,12741.37,28,6,363,316
18941.4,9745.22,29,6,474,242
16308.79,9716.08,30,6,408,241
