X [m],Y [m],NUM,MODO,Index_x,Index_y
9826.256983240224,11557.830508474577,1,6,246,287
9826.256983240224,12000.813559322034,2,6,246,298
9826.256983240224,12443.796610169491,3,6,246,309
9826.256983240224,12886.77966101695,4,6,246,320
11224.301675977653,10228.881355932202,5,6,281,254
11224.301675977653,10671.864406779661,6,6,281,265
11224.301675977653,11114.847457627118,7,6,281,276
11224.301675977653,11557.830508474577,8,6,281,287
11224.301675977653,12000.813559322034,9,6,281,298
11224.301675977653,12443.796610169491,10,6,281,309
11224.301675977653,12886.77966101695,11,6,281,320
11224.301675977653,13329.762711864407,12,6,281,331
11224.301675977653,13772.745762711864,13,6,281,342
11224.301675977653,14215.728813559323,14,6,281,353
11224.301675977653,14658.71186440678,15,6,281,364
11224.301675977653,15101.694915254237,16,6,281,375
12622.346368715083,9785.898305084746,17,6,316,243
12622.346368715083,10228.881355932202,18,6,316,254
12622.346368715083,10671.864406779661,19,6,316,265
12622.346368715083,11114.847457627118,20,6,316,276
12622.346368715083,11557.830508474577,21,6,316,287
12622.346368715083,12000.813559322034,22,6,316,298
12622.346368715083,12443.796610169491,23,6,316,309
12622.346368715083,12886.77966101695,24,6,316,320
12622.346368715083,13329.762711864407,25,5,316,331
14020.391061452514,8899.93220338983,26,6,351,221
14020.391061452514,9342.915254237289,27,6,351,232
14020.391061452514,9785.898305084746,28,6,351,243
14020.391061452514,10228.881355932202,29,7,351,254
14020.391061452514,10671.864406779661,30,7,351,265
14020.391061452514,11114.847457627118,31,7,351,276
14020.391061452514,11557.830508474577,32,7,351,287
14020.391061452514,12000.813559322034,33,6,351,298
14020.391061452514,12443.796610169491,34,6,351,309
14020.391061452514,12886.77966101695,35,6,351,320
14020.391061452514,13329.762711864407,36,6,351,331
15418.435754189944,9342.915254237289,37,6,386,232
15418.435754189944,9785.898305084746,38,7,386,243
15418.435754189944,10228.881355932202,39,10,386,254
15418.435754189944,11114.847457627118,40,8,386,276
16816.480446927373,8899.93220338983,41,6,421,221
16816.480446927373,9342.915254237289,42,6,421,232
16816.480446927373,9785.898305084746,43,6,421,243
16816.480446927373,10228.881355932202,44,7,421,254
16816.480446927373,10671.864406779661,45,7,421,265
18214.525139664805,8456.949152542373,46,6,456,210
18214.525139664805,8899.93220338983,47,6,456,221
18214.525139664805,9342.915254237289,48,6,456,232
18214.525139664805,9785.898305084746,49,6,456,243
18214.525139664805,10228.881355932202,50,6,456,254
18214.525139664805,10671.864406779661,51,6,456,265
