N max	1 [dB]	2 [dB]	3 [dB]	4 [dB]	5 [dB]	6 [dB]	7 [dB]	Energía [GWh]
5	27.74	22.39	39.74	38.83	20.44	11.43	10.50	92.2
5 OW	18.96	20.80	21.56	34.54	15.88	9.31	8.88	113.6
10	30.57	39.36	39.91	39.26	21.91	13.33	12.73	168.9
10 OW	28.07	40.06	27.77	35.89	19.02	11.78	11.44	220.1
25	34.02	38.87	37.73	39.99	23.12	15.84	15.41	399.1
25 OW	31.12	40.81	30.40	37.77	31.22	29.20	26.84	526.4
30	35.24	37.34	39.05	39.95	24.51	16.68	16.42	475.8
30 OW	33.80	36.95	35.51	37.15	25.12	19.16	26.23	628.2
50	30.33	33.76	39.99	39.92	30.59	20.84	20.62	782.7
50 OW	34.28	34.75	43.36	36.40	35.35	38.68	43.96	1037.7
80	35.66	39.59	39.41	40.00	27.36	20.36	20.31	1243.0
80 OW	36.84	41.34	44.73	37.10	42.20	38.91	44.05	1648.5
100	36.18	38.91	39.79	39.99	31.82	22.66	22.57	1549.8
100 OW	37.22	38.37	45.03	37.89	42.37	38.94	44.05	2065.3
125	36.37	39.86	39.87	39.99	32.36	23.36	23.30	1930.7
125 OW	37.64	39.79	45.19	39.47	42.42	38.96	44.06	2549.2
150	34.36	38.96	39.57	40.00	28.67	22.03	21.99	2088.8
150 OW	34.44	39.07	41.95	39.56	42.15	38.91	44.04	2505.2
								
Nº turbinas máx	Nº turbinas agregadas	Tiempo de cálculo [s]						
5	5	0.167						
10	10	0.269						
25	25	0.216						
30	30	0.176						
50	50	0.176						
80	80	0.164						
100	100	0.153						
125	125	0.175						
150	137	0.170						
								
								
