Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
1,137,2088.8,0.3485588,34.36,38.96,39.57,40.0,28.67,22.03,21.99
2,49,767.3,160.0628793,34.3,39.24,38.09,39.72,29.96,20.09,19.78
3,49,767.3,7.687663,34.34,39.86,38.2,39.73,29.96,20.1,19.82
4,49,767.3,11.2858042,34.16,39.71,37.97,39.46,30.04,20.14,19.84
5,49,767.3,8.9605713,33.92,39.44,37.8,39.24,30.23,20.19,19.86
6,49,771.8,8.4795862,33.68,39.2,37.46,39.03,30.48,20.26,19.88
7,49,771.8,8.0862336,33.51,39.41,37.26,38.93,30.5,20.28,19.9
8,49,771.8,7.9005672,33.36,38.98,37.11,38.97,30.5,20.28,19.9
9,49,771.8,7.6983171,33.29,38.63,37.0,38.96,30.42,20.27,19.9
10,49,771.8,7.790283,33.34,39.05,37.17,39.01,30.45,20.28,19.92
11,49,771.8,7.8654914,33.41,39.13,37.38,39.08,30.46,20.29,19.93
12,49,775.7,7.7019247,33.49,39.14,37.65,39.21,30.46,20.29,19.94
13,49,775.7,7.6232001,33.52,39.14,37.67,39.33,30.47,20.3,19.94
14,49,775.7,7.6711874,33.32,39.07,37.52,39.4,30.46,20.29,19.93
15,49,775.7,7.7225371,33.17,38.59,37.17,39.4,30.44,20.29,19.93
16,49,775.7,7.5903973,33.23,38.67,37.39,39.5,30.47,20.3,19.95
17,49,775.7,8.125178,33.24,38.67,37.4,39.63,30.47,20.31,19.96
18,49,775.7,7.5715687,33.24,38.67,37.4,39.64,30.47,20.31,19.96
19,49,775.7,7.931593,33.24,38.67,37.4,39.64,30.47,20.31,19.96
20,49,775.7,8.0700972,33.24,38.67,37.4,39.64,30.47,20.31,19.96
21,49,775.7,8.8126586,33.24,38.67,37.4,39.64,30.47,20.31,19.96
