Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
1,137,238286.2,0.2402053,34.36,38.96,39.57,40.0,28.67,22.03,21.99
2,49,87534.70000000001,129.0367667,34.1,37.13,37.92,39.55,30.01,20.1,19.81
3,49,87534.7,9.6413054,34.28,37.65,38.04,39.6,30.09,20.12,19.83
4,49,87534.7,6.9691702,34.52,37.95,38.51,39.98,30.14,20.13,19.84
5,49,87534.7,6.933302,34.72,38.54,38.67,39.27,30.2,20.14,19.84
6,49,87534.70000000001,6.8830195,35.01,38.9,39.0,38.77,30.26,20.16,19.84
7,49,87534.7,6.8220889,34.84,38.54,39.13,38.56,30.34,20.17,19.84
8,49,87534.70000000001,6.8864824,34.59,38.53,38.62,38.46,30.32,20.18,19.85
9,49,88048.3,6.8296282,34.36,38.1,38.35,38.37,30.42,20.21,19.88
10,49,88048.3,6.8207808,34.6,38.52,38.64,38.06,30.3,20.18,19.87
11,49,88048.3,6.8393516,34.49,37.98,39.07,37.99,30.34,20.2,19.87
12,49,88048.3,6.8329219,34.31,37.97,38.69,38.05,30.38,20.22,19.91
13,49,88048.29999999999,6.903062,34.15,37.46,38.98,38.1,30.28,20.2,19.9
14,49,88048.3,6.7920757,34.01,37.48,38.47,38.17,30.38,20.21,19.88
15,49,88048.3,6.7581701,33.93,37.04,38.93,38.33,30.17,20.17,19.87
16,49,88048.3,6.6916291,34.16,37.34,39.42,38.36,30.24,20.17,19.86
17,49,88048.29999999999,6.8101276,33.93,37.27,38.77,38.45,30.39,20.22,19.91
18,49,88048.29999999999,6.8235073,34.14,37.3,39.23,38.22,30.35,20.21,19.89
19,49,88048.3,6.7846472,33.92,37.01,38.77,38.49,30.32,20.22,19.91
20,49,88048.3,6.891526,33.7,36.75,38.34,38.63,30.31,20.23,19.92
21,49,88048.29999999999,6.7409253,33.9,37.04,38.57,38.81,30.38,20.23,19.91
22,49,88048.3,6.7501227,34.15,37.25,39.12,38.55,30.32,20.22,19.92
23,49,88048.29999999999,6.7891565,33.89,36.97,38.57,38.88,30.33,20.23,19.92
24,49,88048.3,6.7610142,34.11,37.25,39.02,38.51,30.37,20.22,19.91
25,49,88048.3,6.7774579,33.93,36.99,38.66,38.82,30.35,20.22,19.9
26,49,88048.3,6.8561988,34.14,37.26,39.1,38.53,30.38,20.22,19.9
27,49,88048.29999999999,6.8053247,33.94,36.99,38.74,38.56,30.38,20.23,19.91
28,49,88048.29999999999,6.8054519,34.09,37.06,39.2,38.73,30.28,20.2,19.89
29,49,88048.3,6.8527905,33.94,37.04,38.74,38.81,30.39,20.23,19.92
30,49,88048.29999999999,6.7079053,34.13,37.26,39.09,38.51,30.42,20.22,19.9
31,49,88048.3,6.9681591,34.12,36.99,39.61,38.55,30.46,20.24,19.92
32,49,88048.3,6.7973582,33.92,36.73,38.91,38.86,30.48,20.25,19.93
33,49,88048.29999999999,6.9029425,34.22,37.1,39.31,38.54,30.46,20.24,19.93
34,49,88048.3,6.8007294,34.07,37.06,38.77,38.94,30.34,20.21,19.91
35,49,88048.3,6.7637029,34.28,37.27,39.12,38.58,30.42,20.24,19.95
36,49,88048.3,6.7188573,34.03,37.02,38.66,38.83,30.42,20.23,19.94
37,49,88048.29999999999,6.7479044,34.23,37.25,39.02,38.6,30.44,20.24,19.94
38,49,88048.29999999999,6.715073,34.02,37.01,38.66,38.83,30.45,20.25,19.96
39,49,88048.29999999999,6.7869389,34.26,37.26,39.11,38.86,30.36,20.21,19.91
40,49,88048.30000000002,6.848474,34.03,37.01,38.67,38.85,30.43,20.25,19.96
41,49,88048.3,6.7221519,34.2,37.22,39.36,38.63,30.45,20.25,19.96
42,49,88048.3,6.7771707,34.0,36.98,38.63,38.88,30.45,20.25,19.94
43,49,88048.3,6.8047624,34.14,37.22,39.2,38.6,30.45,20.25,19.96
44,49,88048.29999999999,6.8177084,33.96,36.97,38.56,38.86,30.43,20.25,19.95
45,49,88048.29999999999,6.971362,34.2,37.22,39.01,38.57,30.45,20.25,19.96
46,49,88048.3,6.7734692,34.11,36.97,39.68,38.64,30.44,20.25,19.96
47,49,88048.3,6.8042891,33.95,36.75,38.96,38.88,30.47,20.27,19.98
48,49,88048.3,7.1118542,33.82,36.49,39.52,38.94,30.39,20.25,19.95
49,49,88048.3,7.2797879,33.93,36.5,39.6,38.68,30.39,20.24,19.96
50,49,88048.3,6.9369207,34.23,36.94,39.86,38.82,30.45,20.25,19.96
51,49,88048.3,6.7434462,34.0,36.69,39.34,38.88,30.3,20.22,19.94
52,49,88048.3,6.7899914,33.81,36.48,38.93,38.99,30.44,20.26,19.97
53,49,88048.3,6.8325693,34.02,36.74,39.35,38.72,30.46,20.25,19.96
54,49,88048.29999999999,6.7673907,33.78,36.48,38.85,38.97,30.46,20.26,19.97
55,49,88048.30000000002,6.6383676,34.01,36.74,39.34,38.67,30.46,20.25,19.96
56,49,88048.3,6.7239463,34.15,36.93,39.41,38.51,30.4,20.22,19.93
57,49,88048.29999999999,6.9870121,33.9,36.7,38.91,38.64,30.44,20.25,19.96
58,49,88048.3,6.6690826,34.14,36.96,39.4,38.43,30.47,20.25,19.93
59,49,88048.29999999999,6.8607772,34.4,37.18,39.98,38.61,30.42,20.24,19.94
60,49,88048.29999999999,6.8290083,34.14,36.92,39.4,38.85,30.48,20.26,19.95
61,49,88048.29999999999,6.7340959,34.37,37.18,39.92,38.64,30.45,20.23,19.91
62,49,88048.3,6.7656679,34.12,36.92,39.39,38.82,30.48,20.26,19.94
63,49,88048.29999999999,6.652148,34.37,37.18,39.91,38.48,30.48,20.25,19.94
64,49,88048.3,6.7111283,34.17,36.92,39.48,38.7,30.47,20.25,19.94
65,49,88048.30000000002,6.6906877,33.91,36.66,38.95,38.72,30.49,20.27,19.95
66,49,88048.3,6.7679782,33.68,36.41,38.49,38.8,30.48,20.26,19.95
67,49,88048.29999999999,6.7135575,33.92,36.67,38.96,38.72,30.49,20.27,19.96
68,49,88048.29999999999,6.663668,34.14,36.92,39.43,38.66,30.4,20.25,19.94
69,49,88048.3,6.708929,33.91,36.66,38.94,38.72,30.4,20.26,19.95
70,49,88048.3,6.6715541,34.14,36.91,39.43,38.42,30.3,20.23,19.93
71,49,88048.29999999999,6.7854762,33.9,36.65,38.94,38.69,30.4,20.26,19.95
72,49,88048.3,6.6833467,34.07,36.91,39.1,38.4,30.31,20.23,19.93
73,49,88048.29999999999,6.7126045,33.85,36.66,38.65,38.69,30.4,20.25,19.95
74,49,88048.29999999999,6.6864443,34.04,36.92,39.01,38.38,30.29,20.22,19.92
75,49,88048.3,6.7563868,33.82,36.66,38.57,38.72,30.43,20.26,19.94
76,49,88048.29999999999,6.7183002,34.05,36.91,39.01,38.43,30.5,20.26,19.94
77,49,88048.3,6.7274052,33.85,36.66,38.65,38.72,30.48,20.27,19.96
78,49,88048.29999999999,6.7225241,34.04,36.91,39.0,38.42,30.4,20.24,19.95
79,49,88048.29999999999,6.7542876,33.81,36.65,38.55,38.73,30.43,20.26,19.97
80,49,88048.3,6.8461863,34.03,36.89,39.0,38.47,30.43,20.25,19.96
81,49,88048.30000000002,6.6980274,33.84,36.64,38.65,38.75,30.44,20.26,19.97
82,49,88048.3,6.7703358,34.07,36.9,39.09,38.41,30.42,20.25,19.96
83,49,88048.3,6.7018266,33.83,36.64,38.65,38.74,30.47,20.27,19.99
84,49,88048.29999999999,6.8636179,33.86,36.71,38.6,38.5,30.29,20.21,19.92
85,49,88048.3,6.8519605,34.11,37.16,38.76,38.22,30.45,20.26,19.97
86,49,88048.29999999999,6.6997494,33.88,36.91,38.38,38.31,30.25,20.2,19.92
87,49,88048.3,6.7163666,33.76,36.64,38.79,38.27,30.37,20.24,19.97
88,49,88048.3,6.7094018,34.03,36.87,39.0,38.07,30.33,20.22,19.94
89,49,88048.3,6.8067216,33.79,36.61,38.55,38.17,30.42,20.25,19.95
90,49,88048.29999999999,7.1425268,33.72,36.38,39.14,38.2,30.26,20.21,19.95
91,49,88048.3,6.91306,33.61,36.13,39.75,38.17,30.45,20.25,19.96
92,49,88048.3,7.2073852,33.5,36.07,39.1,38.06,30.57,20.29,19.98
93,49,88048.3,6.8734923,33.38,35.72,38.43,38.1,30.45,20.27,19.97
94,49,88048.3,7.1493023,33.55,35.96,39.15,38.06,30.37,20.24,19.94
95,49,88048.3,7.0664813,33.38,35.72,38.43,38.16,30.49,20.27,19.98
96,49,88048.30000000002,7.0113026,33.69,36.08,38.75,38.12,30.39,20.25,19.95
97,49,88048.29999999999,6.8995608,33.52,35.87,38.46,38.18,30.43,20.27,19.97
98,49,88048.3,6.9106728,33.46,35.98,38.92,38.2,30.2,20.23,19.94
99,49,88048.3,6.9693194,33.41,35.73,39.61,38.22,30.32,20.26,19.97
100,49,88048.3,6.8513477,33.26,35.62,38.82,38.23,30.34,20.28,19.98
101,49,88048.29999999999,6.9728648,33.19,35.39,38.33,38.33,30.43,20.3,19.99
102,49,88048.3,7.9514115,33.06,35.17,37.84,38.3,30.45,20.32,20.01
103,49,88048.3,7.1858847,33.33,35.41,37.89,38.4,30.48,20.3,19.99
104,49,88048.29999999999,7.5021823,33.59,35.65,38.35,38.06,30.47,20.3,20.01
105,49,88048.3,8.076233,33.37,35.39,38.11,38.17,30.55,20.32,20.01
106,49,88048.3,6.9359586,33.59,35.65,38.35,38.03,30.48,20.3,20.0
107,49,88048.29999999999,6.9335609,33.77,35.72,38.56,38.11,30.44,20.29,19.98
108,49,88048.29999999999,6.9798638,33.58,35.49,38.35,38.11,30.24,20.26,19.98
109,49,88048.29999999999,7.3891202,33.77,35.73,38.57,38.08,30.39,20.29,19.99
110,49,88048.3,6.9545599,33.8,35.48,39.26,38.31,30.52,20.31,19.99
111,49,88048.3,6.8282948,33.65,35.26,38.58,38.36,30.44,20.3,20.0
112,49,88048.3,6.8668453,33.59,35.02,39.05,38.32,30.31,20.29,20.0
113,49,88048.3,7.0556568,33.52,34.88,38.5,38.2,30.5,20.34,20.04
114,49,88048.3,7.022475,33.48,34.64,39.01,38.51,30.47,20.34,20.03
115,49,88048.3,6.883857,33.42,34.41,39.71,38.32,30.57,20.37,20.06
116,49,88048.3,6.9158999,33.35,34.28,38.9,38.45,30.51,20.36,20.05
117,49,88048.29999999999,7.1941032,33.27,34.24,38.23,38.58,30.53,20.34,20.03
118,49,88048.3,6.8421814,33.49,34.34,38.59,38.43,30.57,20.37,20.05
119,49,88048.29999999999,6.9937349,33.48,34.09,39.28,38.45,30.61,20.39,20.08
120,49,88048.29999999999,6.9045565,33.38,33.89,38.53,38.45,30.62,20.41,20.1
121,49,88048.3,6.8960754,33.21,33.87,38.24,38.49,30.52,20.38,20.08
122,49,88048.3,6.9903488,33.48,34.1,38.7,38.67,30.48,20.34,20.03
123,49,88048.29999999999,6.8624274,33.47,33.84,39.37,38.72,30.54,20.38,20.07
124,49,88048.3,6.9566503,33.33,33.74,38.52,38.84,30.56,20.4,20.09
125,49,88048.3,6.9391163,33.62,33.97,38.98,38.71,30.47,20.36,20.06
126,49,88048.3,7.4535981,33.38,33.92,38.61,38.82,30.48,20.35,20.04
127,49,88048.3,7.0468373,33.66,34.15,39.06,38.8,30.49,20.36,20.04
128,49,88048.3,6.9833869,33.42,33.89,39.32,38.92,30.6,20.4,20.08
129,49,88048.3,6.8784342,33.35,33.73,38.61,38.95,30.62,20.41,20.1
130,49,88048.3,6.8305591,33.61,33.94,39.05,38.9,30.52,20.38,20.08
131,49,88048.3,7.1619113,33.45,33.73,38.24,38.82,30.62,20.42,20.1
132,49,88048.3,7.2183104,33.58,33.92,38.96,38.91,30.47,20.38,20.07
