Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
1,49,89085.0,1.4365887,29.29,31.31,31.27,39.95,37.13,30.47,32.97
2,39,71326.0,14.694838,29.5,30.76,31.91,39.51,37.06,30.49,33.25
3,39,71331.0,7.1508617,29.67,30.96,32.1,39.99,37.27,30.62,33.32
4,39,71331.0,6.9438869,29.76,31.08,32.2,39.44,37.57,30.63,33.53
5,39,71331.0,7.0089168,29.86,31.23,32.29,39.23,37.91,30.56,33.79
6,39,71798.0,7.0801999,29.99,31.39,32.43,38.71,38.27,30.59,33.86
7,39,71798.0,7.0492104,30.1,31.58,32.54,38.36,38.69,30.7,33.71
8,39,72265.0,7.0273199,30.28,31.64,32.79,38.0,38.19,30.62,34.02
9,39,72265.0,6.9916122,30.34,31.66,32.88,37.92,38.64,30.66,34.08
10,39,72265.0,6.9708373,30.31,31.7,32.85,38.19,38.33,30.63,34.06
11,39,72265.0,7.4008703,30.45,31.7,33.06,37.93,38.8,30.67,34.06
12,39,72265.0,7.0039683,30.51,31.76,33.17,37.64,38.32,30.64,34.15
13,39,72265.0,7.8853267,30.62,31.78,33.32,37.63,38.79,30.71,33.95
14,39,72265.0,6.9386318,30.71,31.81,33.47,37.34,38.31,30.63,34.14
15,39,72265.0,7.7264972,30.78,31.87,33.52,37.5,38.57,30.78,34.06
16,39,72265.0,7.0002153,30.85,31.88,33.62,37.26,38.44,30.76,33.95
17,39,72265.0,7.0198506,30.97,31.95,33.77,37.28,38.05,30.63,34.15
18,39,72265.0,7.1160027,31.05,31.88,33.93,37.11,37.89,30.61,34.18
19,39,72265.0,7.1142377,31.15,31.98,33.99,37.37,38.33,30.65,34.25
20,39,72265.0,9.1673321,31.15,31.89,34.09,37.28,38.8,30.69,34.32
21,39,72265.0,7.1363608,31.24,32.0,34.17,37.54,38.77,30.67,34.37
22,39,72265.0,8.0048644,31.27,31.99,34.22,37.84,38.27,30.65,34.42
23,39,72265.0,7.2215809,31.28,32.03,34.18,37.47,38.76,30.69,34.52
24,39,72265.0,7.2222177,31.25,32.07,34.15,37.52,38.26,30.66,34.59
25,39,72265.0,8.4829501,31.29,32.04,34.2,37.74,38.65,30.7,34.7
26,39,72265.0,7.0847372,31.27,32.02,34.16,37.45,39.17,30.74,34.82
27,39,72265.0,8.3470208,31.28,31.94,34.26,37.16,38.63,30.71,34.92
28,39,72265.0,7.3189957,31.3,32.02,34.22,37.01,38.14,30.68,35.03
29,39,72265.0,8.2183683,31.29,32.02,34.19,36.84,38.56,30.79,34.86
30,39,72265.0,7.1122828,31.25,31.92,34.21,37.07,38.02,30.69,35.17
31,39,72265.0,7.8711015,31.29,32.03,34.19,37.3,38.33,30.84,35.11
32,39,72265.0,7.0268424,31.31,32.03,34.22,37.57,38.75,30.77,35.52
33,39,72265.0,7.1665372,31.29,31.97,34.25,37.36,38.25,30.74,35.69
34,39,72265.0,7.7832625,31.31,32.04,34.22,37.39,38.75,30.86,35.84
35,39,72265.0,7.1170582,31.16,31.97,34.09,37.6,38.28,30.77,36.04
36,39,72265.0,7.2087883,31.3,32.04,34.22,37.32,38.77,30.81,36.32
37,39,72265.0,7.6487746,31.29,31.96,34.27,37.07,38.26,30.78,36.34
