Iteración,Turbinas agregadas,Energia producida [GWh],Tiempo por iteración [s],Tiempo total [s],,Iteración,1 [dB],2 [dB],3 [dB],4 [dB],5 [dB],6 [dB],7 [dB]
0,133,2103.1,0.275,0.275,,0,31.38,33.57,33.56,39.89,39.58,30.96,36.16
1,48,781.9,518.922,519.197,,1,31.43,33.69,33.63,39.52,39.84,31.11,35.72
2,48,781.9,13.616,532.813,,2,31.52,33.78,33.75,39.19,39.80,31.14,36.19
3,48,781.9,23.581,556.394,,3,31.62,33.83,33.91,39.49,39.29,31.11,36.27
4,48,781.9,10.921,567.315,,4,31.73,33.91,34.08,39.01,39.76,31.28,36.41
5,48,781.9,12.386,579.701,,5,31.88,33.99,34.29,39.29,39.26,31.23,36.48
6,48,781.9,13.553,593.254,,6,31.94,34.04,34.40,38.92,39.80,31.36,36.37
7,48,781.9,13.449,606.704,,7,32.02,34.11,34.52,39.14,39.20,31.23,36.48
8,48,781.9,13.802,620.506,,8,32.04,34.12,34.58,38.76,39.70,31.33,36.47
9,48,781.9,12.799,633.305,,9,32.06,34.08,34.61,39.02,39.30,31.22,36.47
10,48,781.9,12.236,645.541,,10,32.06,34.13,34.62,38.62,39.71,31.26,36.45
25,48,781.9,11.470,816.706,,25,32.10,34.21,34.65,38.85,38.54,31.11,36.48
50,48,781.9,16.375,1138.717,,50,32.05,34.10,34.60,37.55,38.20,31.01,36.23
100,48,781.9,10.863,1731.172,,100,32.08,34.22,34.61,37.32,37.70,31.20,36.30
200,48,781.9,20.587,3073.209,,200,31.93,34.03,34.45,36.97,38.28,31.22,36.34
300,48,786.0,11.095,4587.189,,300,32.17,34.50,34.61,36.86,37.92,31.02,36.47
400,48,786.0,11.098,5818.863,,400,32.24,34.52,34.71,38.15,38.12,31.12,36.50
500,48,786.0,11.116,6933.783,,500,32.20,34.55,34.62,38.51,39.33,31.31,36.45
1000,48,790.7,11.315,14662.113,,1000,32.29,34.60,34.75,38.37,38.97,31.16,36.60
