X [m],Y [m],NUM,MODO,Index_x,Index_y
10145.810055865923,11074.57627118644,1,6,254,275
9546.648044692738,12202.169491525423,2,6,239,303
10025.977653631286,14336.542372881357,3,6,251,356
11024.581005586591,10067.796610169491,4,6,276,250
10465.363128491621,12645.152542372882,5,6,262,314
10585.195530726258,15061.42372881356,6,6,265,374
10824.86033519553,11356.474576271186,7,6,271,282
11064.525139664804,13571.389830508475,8,6,277,337
11144.413407821228,15141.966101694916,9,6,279,376
11663.687150837988,9987.254237288136,10,6,292,248
11623.743016759776,11235.661016949152,11,6,291,279
11703.6312849162,14094.915254237289,12,6,293,350
11703.6312849162,15343.322033898305,13,6,293,381
12262.849162011173,10913.49152542373,14,6,307,271
12262.849162011173,13571.389830508475,15,2,307,337
12222.90502793296,9544.271186440677,16,6,306,237
12302.793296089385,12322.983050847457,17,6,308,306
12901.95530726257,10269.152542372882,18,6,323,255
12862.011173184357,12604.881355932202,19,6,322,313
13780.72625698324,9141.559322033898,20,6,345,227
13940.50279329609,11839.728813559323,21,5,349,294
14539.664804469274,13490.847457627118,22,6,364,335
14339.944134078212,8658.305084745763,23,6,359,215
14539.664804469274,12041.084745762711,24,6,364,299
15098.882681564246,13088.135593220339,25,6,378,325
14899.162011173185,9262.372881355932,26,6,373,230
15618.156424581006,9101.28813559322,27,6,391,226
16297.206703910615,10188.610169491525,28,6,408,253
16177.374301675978,8940.203389830509,29,6,405,222
16856.424581005587,9866.440677966102,30,6,422,245
16736.59217877095,8618.033898305084,31,6,419,214
17495.530726256984,10188.610169491525,32,6,438,253
17335.754189944135,8577.762711864407,33,6,434,213
18054.748603351956,10027.525423728814,34,6,452,249
17894.972067039107,8698.57627118644,35,6,448,216
18613.96648044693,10228.881355932202,36,6,466,254
18494.13407821229,8456.949152542373,37,6,463,210
19213.12849162011,10228.881355932202,38,6,481,254
19053.351955307262,8940.203389830509,39,6,477,222
