Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
1,46,733.05675,0.2605445,28.99,30.99,30.97,39.99,36.32,30.75,36.61
2,39,71326.0,11.7789337,29.25,31.04,31.42,39.44,36.23,30.87,37.4
3,39,71331.0,8.9924416,29.4,31.21,31.58,39.92,36.56,31.05,37.78
4,39,71331.0,7.4640806,29.5,31.35,31.69,39.36,36.87,31.11,38.14
5,39,71331.0,6.8611171,29.65,31.53,31.87,39.15,37.23,31.23,38.5
6,39,71798.0,11.5113338,29.75,31.67,31.98,38.92,37.63,31.31,38.57
7,39,71798.0,7.0039352,29.85,31.74,32.13,38.39,38.05,31.29,38.62
8,39,71798.0,6.8959441,29.95,31.82,32.29,37.92,38.49,31.37,38.61
9,39,72265.0,7.0867503,30.02,31.85,32.4,37.64,39.05,31.5,38.62
10,39,72265.0,7.2223008,29.99,31.83,32.36,38.06,38.56,31.5,38.34
11,39,72265.0,6.6949231,30.06,31.91,32.44,38.12,39.0,31.62,38.32
12,39,72265.0,6.7386202,30.13,31.99,32.53,37.83,39.45,31.54,38.34
13,39,72265.0,6.9160304,30.23,32.05,32.66,37.9,38.87,31.35,38.68
14,39,72265.0,6.8035279,30.29,32.06,32.76,38.0,39.17,31.37,38.67
15,39,72265.0,6.9830043,30.38,32.14,32.85,37.83,38.52,31.34,38.68
16,39,72265.0,6.7527419,30.44,32.18,32.94,37.56,38.9,31.52,38.63
17,39,72265.0,7.072514,30.37,32.22,32.81,37.37,38.5,31.34,38.68
18,39,72265.0,6.8574581,30.46,32.19,32.95,37.42,38.85,31.35,38.68
19,39,72732.0,6.7958428,30.54,32.25,33.08,37.14,38.89,31.52,38.63
20,39,72732.0,6.7443388,30.65,32.27,33.2,37.07,39.19,31.39,38.69
21,39,72732.0,6.8127104,30.65,32.32,33.18,37.03,38.66,31.37,38.68
22,39,72732.0,6.7516399,30.62,32.33,33.18,37.15,38.38,31.42,37.96
23,39,72732.0,7.085728,30.66,32.34,33.22,37.15,38.31,31.34,38.68
24,39,72732.0,7.168592,30.71,32.39,33.27,37.26,38.56,31.51,38.63
25,39,72732.0,7.0678265,30.69,32.42,33.24,37.02,38.77,31.56,38.65
26,39,72732.0,6.8505003,30.74,32.5,33.3,36.79,38.56,31.49,38.24
27,39,72732.0,7.0390544,30.72,32.47,33.28,36.83,38.79,31.58,38.23
28,39,72732.0,6.6759311,30.73,32.49,33.29,36.62,38.3,31.58,38.59
29,39,72732.0,6.8177883,30.69,32.46,33.26,36.55,38.13,31.48,38.6
30,39,72732.0,6.8649814,30.7,32.49,33.26,36.58,37.73,31.6,38.55
31,39,72732.0,6.8526667,30.72,32.55,33.23,36.82,37.65,31.6,38.12
32,39,72732.0,6.8718538,30.74,32.61,33.24,36.93,37.89,31.55,38.14
33,39,72732.0,6.9513631,30.74,32.56,33.29,36.67,38.05,31.7,38.18
34,39,72732.0,6.7558436,30.68,32.47,33.24,36.55,38.2,31.65,38.56
35,39,72732.0,6.7544067,30.7,32.46,33.24,36.72,38.23,31.67,38.55
36,39,72732.0,6.8867668,30.69,32.5,33.21,36.56,38.03,31.54,38.34
37,39,72732.0,6.788152,30.71,32.57,33.22,36.53,38.27,31.37,38.68
38,39,72732.0,6.8501572,30.74,32.54,33.28,36.36,38.2,31.42,37.95
39,39,72732.0,6.8829402,30.71,32.53,33.25,36.27,37.82,31.33,38.67
40,39,72732.0,6.7471735,30.7,32.55,33.21,36.22,37.77,31.38,38.21
41,39,72732.0,6.9570089,30.77,32.6,33.3,36.23,37.6,31.44,37.86
42,39,72732.0,6.8428112,30.77,32.6,33.31,36.28,37.74,31.38,37.67
43,39,72732.0,6.7602338,30.73,32.47,33.3,36.06,37.85,31.43,38.27
