V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.7	82.6	89.4	92.8	93.3	94.2	92.1	82.8	66.3	50	99.8
5	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
6	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
7	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
8	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
9	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
10	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
11	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
12	79.4	87.3	94.1	97.5	98	98.9	96.8	87.5	71	50	104.5
