V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
4	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
5	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
6	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
7	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
8	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
9	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
10	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
11	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
12	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
13	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
14	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
15	65.9	77.5	86.3	95.4	98	95.4	90.3	79.7	53.3	53.3	106.5
