X [m],Y [m],NUM,MODO,Index_x,Index_y
10505.307262569833,10470.50847457627,1,9,263,260
10145.810055865923,12765.966101694916,2,9,254,317
10545.251396648046,12403.525423728814,3,9,264,308
10425.418994413409,14135.186440677966,4,9,261,351
10904.748603351954,10349.694915254237,5,9,273,257
10944.692737430167,12121.627118644068,6,9,274,301
10944.692737430167,12886.77966101695,7,9,274,320
10824.86033519553,14175.457627118643,8,9,271,352
11304.189944134077,10389.966101694916,9,9,283,258
11384.078212290502,12081.35593220339,10,9,285,300
11344.13407821229,12886.77966101695,11,9,284,320
11623.743016759776,13692.203389830509,12,9,291,340
11224.301675977653,14215.728813559323,13,9,281,353
11983.240223463687,10389.966101694916,14,9,300,258
11783.519553072625,11517.559322033898,15,9,295,286
11903.351955307262,12604.881355932202,16,9,298,313
12023.184357541899,13490.847457627118,17,9,301,335
11703.6312849162,14940.610169491525,18,9,293,371
12582.402234636871,10631.593220338984,19,9,315,264
12342.737430167597,11839.728813559323,20,9,309,294
12382.68156424581,13531.118644067798,21,9,310,336
12981.843575418994,10752.406779661016,22,9,325,267
13181.564245810056,11517.559322033898,23,9,330,286
12742.17877094972,13531.118644067798,24,9,319,336
13501.117318435754,10712.135593220339,25,9,338,266
13581.005586592179,11759.186440677966,26,9,340,292
13820.670391061452,12846.50847457627,27,9,346,319
14100.279329608938,9383.186440677966,28,9,353,233
14499.720670391062,10671.864406779661,29,9,363,265
13940.50279329609,11839.728813559323,30,9,349,294
14220.111731843575,13007.593220338984,31,9,356,323
14739.385474860335,9785.898305084746,32,9,369,243
14939.106145251397,10792.677966101695,33,9,374,268
14300.0,11920.271186440677,34,9,358,296
14659.49720670391,12725.694915254237,35,9,367,316
15218.715083798883,9866.440677966102,36,9,381,245
15298.603351955308,10832.949152542373,37,9,383,269
15977.653631284917,9665.084745762711,38,9,400,240
15698.04469273743,10832.949152542373,39,9,393,269
16736.59217877095,9342.915254237289,40,9,419,232
16496.927374301675,10470.50847457627,41,9,413,260
17295.81005586592,9544.271186440677,42,9,433,237
16976.256983240222,10389.966101694916,43,9,425,258
17815.083798882682,8859.661016949152,44,9,446,220
17415.64245810056,10591.322033898305,45,9,436,263
18334.35754189944,8940.203389830509,46,9,459,222
18494.13407821229,9946.983050847457,47,9,463,247
18693.854748603353,9181.830508474577,48,9,468,228
18933.519553072627,10188.610169491525,49,9,474,253
19173.1843575419,9262.372881355932,50,9,480,230
