NUM	X [m]	Y [m]	Altitude [m]
1	10320.09	12820.2	99.8
2	10686.85	12822.2	99.95
3	11066.92	12954.84	113.86
4	11431.89	12850.84	115.84
5	11721.15	13073.47	119.18
6	11263.8	10464.36	89.5
7	11513.45	10849.66	73.07
8	11723.61	11180.7	87.41
9	12111.77	11157.53	96
10	12452.94	11026.45	96.84
11	12791.83	10890.36	111.56
12	13036.55	11187.8	119.46
13	13258.09	11482.02	113.62
14	13441.79	11802.89	112.79
15	13812.25	11684.36	124.56
16	14356.31	12179.58	92.02
17	14680.01	9954.08	74.26
18	15051.51	9796.98	72
19	15558.4	9734.3	73.22
20	15930.1	9665.43	73.91
21	16700.99	9749.2	81.13
22	17089.19	9743.9	83.55
23	17465.66	9658.99	84
24	17850	9564.74	82.27
25	18188.05	9731.6	83.87
26	18567.77	9807.49	86.14
27	10932.83	10230.62	106
28	14510.27	12741.37	112.83
29	18941.4	9745.22	84.86
30	16308.79	9716.08	77.6
